id,college_name,college_slug,district,city,region
68,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",maratha-vidya-prasarak-samajs-karmaveer-adv-baburao-ganpatrao-thakare-college-of-engineering-nashik,Nashik,Nashik,Nashik / North Maharashtra
69,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",s-k-n-sinhgad-college-of-engineering-korti-tal-pandharpur-dist-solapur,Solapur,Pandharpur,Pune Region
70,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",anjuman-i-islams-m-h-saboo-siddik-college-of-engineering-byculla-mumbai,Mumbai,Byculla,Mumbai Region
71,"Walchand Institute of Technology, Solapur",walchand-institute-of-technology-solapur,Solapur,Solapur,Pune Region
72,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering & Technology, Talegaon station, Pune",nutan-maharashtra-vidya-prasarak-mandal-nutan-maharashtra-institute-of-engineering--technology-talegaon-station-pune,Pune,Pune,Pune Region
73,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering, Vadgaon, Pune",sinhgad-technical-education-societys-smt-kashibai-navale-college-of-engineering-vadgaon-pune,Pune,Vadgaon,Pune Region
74,"JSPM'S Jaywantrao Sawant College of Engineering, Pune",jspms-jaywantrao-sawant-college-of-engineering-pune,Pune,Pune,Pune Region
75,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",usha-mittal-institute-of-technology-sndt-womens-university-mumbai,Mumbai,Mumbai,Mumbai Region
76,"Shree Tuljabhavani College of Engineering, Tuljapur",shree-tuljabhavani-college-of-engineering-tuljapur,Osmanabad (Dharashiv),Tuljapur,Chhatrapati Sambhajinagar (Marathwada)
77,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",g-h-raisoni-college-of-engineering--management-wagholi-pune,Pune,Wagholi,Pune Region
78,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",lokmanya-tilak-college-of-engineering-kopar-khairane-navi-mumbai,Mumbai,Mumbai,Mumbai Region
79,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",annasaheb-dange-college-of-engineering-and-technology-ashta-sangli,Sangli,Ashta,Pune Region
80,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",shri-vithal-education-and-research-institutes-college-of-engineering-pandharpur,Solapur,Pandharpur,Pune Region
81,"Prof. Ram Meghe Institute of Technology & Research, Amravati",prof-ram-meghe-institute-of-technology--research-amravati,Amravati,Amravati,Vidarbha
82,"Bajaj Institute of Technology, Wardha",bajaj-institute-of-technology-wardha,Wardha,Wardha,Vidarbha
83,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",tatyasaheb-kore-institute-of-engineering-and-technology-warananagar,Kolhapur,Warananagar,Pune Region
84,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",jspms-imperial-college-of-engineering-and-research-wagholi-pune,Pune,Wagholi,Pune Region
85,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",ankush-shikshan-sansthas-g-h-raisoni-college-of-engineering-nagpur,Nagpur,Nagpur,Vidarbha
86,"Deogiri Institute of Engineering and Management Studies, Aurangabad",deogiri-institute-of-engineering-and-management-studies-aurangabad,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Chhatrapati Sambhajinagar (Marathwada)
87,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",hindi-seva-mandals-shri-sant-gadgebaba-college-of-engineering--technology-bhusawal,Jalgaon,Bhusawal,Nashik / North Maharashtra
